unit,conn_index,src_local,src_name,dst_local,dst_name,weight,meaningful
1,14,6,ADD,10,THRESH,3.162572099978637,1
1,15,0,CONST,6,ADD,-1.3069246498001037,1
1,16,3,SELF_ENERGY,20,MOVE_W,0.7326883754997406,1
1,17,12,JUNK-I6,8,CLAMP,2.859218115787225,0
1,18,2,LOCAL_RESOURCE,21,JUNK-A7,2.5056917020172733,0
1,19,3,SELF_ENERGY,10,THRESH,0.9984435560167242,1
1,20,13,JUNK-I7,16,REPRODUCE,3.5490585039826654,0
1,21,10,THRESH,11,JUNK-I5,1.7360148930326242,0
1,22,3,SELF_ENERGY,21,JUNK-A7,-1.3968932157353435,0
1,23,8,CLAMP,9,DELAY,-1.6251716666158025,1
1,24,10,THRESH,8,CLAMP,-2.7135837885677665,1
1,25,0,CONST,13,JUNK-I7,-1.349284340952788,0
1,26,2,LOCAL_RESOURCE,9,DELAY,0.9851374858851893,1
1,27,13,JUNK-I7,10,THRESH,3.1828363902706993,0
1,28,4,JUNK-S4,17,MOVE_N,-3.4594561601611376,0
1,29,1,RAND,16,REPRODUCE,2.192693868831446,1
1,30,4,JUNK-S4,19,MOVE_E,2.686605426190985,0
1,31,13,JUNK-I7,14,ACTION_Y,-1.5912350840784937,0
2,0,5,JUNK-S5,8,CLAMP,2.174260689107944,0
2,1,3,SELF_ENERGY,20,MOVE_W,-0.21887874996185186,1
2,2,10,THRESH,17,MOVE_N,-1.1697134311960204,1
2,3,9,DELAY,19,MOVE_E,-1.2473525193029573,1
2,4,11,JUNK-I5,15,HARVEST,0.7010711996826074,0
2,5,10,THRESH,21,JUNK-A7,2.160588396862697,0
2,6,13,JUNK-I7,7,MUL,2.1776787621692555,0
2,7,7,MUL,21,JUNK-A7,-0.42481765190588094,0
2,8,1,RAND,16,REPRODUCE,0.9088412121951964,1
2,9,13,JUNK-I7,20,MOVE_W,-3.052461317789239,0
2,10,6,ADD,12,JUNK-I6,3.3747367778557695,0
2,11,11,JUNK-I5,6,ADD,0.02294991912594989,0
2,12,4,JUNK-S4,11,JUNK-I5,3.6368297372356335,0
2,13,5,JUNK-S5,13,JUNK-I7,-3.5706656086916717,0
2,14,8,CLAMP,6,ADD,2.642536698507645,1
2,15,0,CONST,9,DELAY,-0.8468276009399701,1
2,16,2,LOCAL_RESOURCE,20,MOVE_W,-2.3855708487197487,1
2,17,1,RAND,17,MOVE_N,1.3131504257332072,1
2,18,11,JUNK-I5,15,HARVEST,-0.7965330973235267,0
2,19,0,CONST,19,MOVE_E,0.13672292245246742,1
2,20,0,CONST,18,MOVE_S,-1.1387066255684073,1
2,21,5,JUNK-S5,7,MUL,-0.6578569902645954,0
2,22,0,CONST,15,HARVEST,1.0138248847926268,1
2,23,9,DELAY,14,ACTION_Y,3.8748741111484115,1
2,24,2,LOCAL_RESOURCE,17,MOVE_N,-0.6518753624073,1
2,25,3,SELF_ENERGY,20,MOVE_W,2.936735129856258,1
2,26,2,LOCAL_RESOURCE,19,MOVE_E,0.934232612079226,1
2,27,13,JUNK-I7,16,REPRODUCE,3.076509903256325,0
2,28,12,JUNK-I6,16,REPRODUCE,-3.262794885097812,0
2,29,11,JUNK-I5,18,MOVE_S,-1.9961546678060245,0
2,30,12,JUNK-I6,6,ADD,3.1585436567278053,0
2,31,4,JUNK-S4,17,MOVE_N,2.726157414471877,0
3,0,10,THRESH,11,JUNK-I5,-3.7459639271217995,0
3,1,13,JUNK-I7,8,CLAMP,-1.445356608783227,0
3,2,4,JUNK-S4,21,JUNK-A7,1.512131107516709,0
3,3,2,LOCAL_RESOURCE,15,HARVEST,3.6028931546983247,1
3,4,6,ADD,11,JUNK-I5,-3.9323709830011904,0
3,5,13,JUNK-I7,6,ADD,0.7519760734885708,0
3,6,7,MUL,14,ACTION_Y,-1.1820429090243232,1
3,7,3,SELF_ENERGY,13,JUNK-I7,3.2883083590197453,0
3,8,7,MUL,18,MOVE_S,-1.7363811151463362,1
3,9,8,CLAMP,13,JUNK-I7,-3.6257209997863704,0
3,10,3,SELF_ENERGY,14,ACTION_Y,2.2536088137455366,1
3,11,2,LOCAL_RESOURCE,18,MOVE_S,-0.30689413129062776,1
3,12,4,JUNK-S4,19,MOVE_E,3.021332438123722,0
3,13,5,JUNK-S5,14,ACTION_Y,-1.0687582018494217,0
3,14,11,JUNK-I5,10,THRESH,2.531083101901303,0
3,15,13,JUNK-I7,11,JUNK-I5,-0.23059785760063478,0
3,16,0,CONST,9,DELAY,3.992919705801569,1
3,17,3,SELF_ENERGY,20,MOVE_W,0.532486953337199,1
3,18,5,JUNK-S5,13,JUNK-I7,-0.8941923276467177,0
3,19,3,SELF_ENERGY,17,MOVE_N,2.6706137272255623,1
3,20,10,THRESH,12,JUNK-I6,-3.445295571764275,0
3,21,11,JUNK-I5,6,ADD,-2.8741111484115116,0
3,22,1,RAND,6,ADD,-1.6448255867183448,1
3,23,2,LOCAL_RESOURCE,15,HARVEST,-1.054353465376751,1
3,24,0,CONST,10,THRESH,2.5794244209112827,1
3,25,7,MUL,6,ADD,3.936765648365734,1
3,26,13,JUNK-I7,7,MUL,3.454695272682882,0
3,27,10,THRESH,21,JUNK-A7,3.6691793572801905,0
3,28,13,JUNK-I7,20,MOVE_W,-0.23743400372325815,0
3,29,3,SELF_ENERGY,16,REPRODUCE,-1.271645252845851,1
3,30,12,JUNK-I6,18,MOVE_S,1.1391949217200232,0
3,31,9,DELAY,20,MOVE_W,-3.064912869655446,1
4,0,9,DELAY,6,ADD,3.7277748954741052,1
4,1,6,ADD,13,JUNK-I7,-0.2786950285348064,0
4,2,2,LOCAL_RESOURCE,7,MUL,-0.3740348521378216,1
4,3,7,MUL,12,JUNK-I6,2.260567033906064,0
4,4,2,LOCAL_RESOURCE,15,HARVEST,-0.14954069643238624,1
4,5,2,LOCAL_RESOURCE,19,MOVE_E,2.2904751731925415,1
4,6,7,MUL,10,THRESH,-0.014648884548478652,1
4,7,7,MUL,10,THRESH,3.6896877956480605,1
4,8,4,JUNK-S4,13,JUNK-I7,-0.8846705526902066,0
4,9,7,MUL,8,CLAMP,-1.227210303048799,1
4,10,0,CONST,20,MOVE_W,-2.4083986938077944,1
4,11,11,JUNK-I5,20,MOVE_W,-0.5401776177251503,0
4,12,2,LOCAL_RESOURCE,14,ACTION_Y,1.955748161259804,1
4,13,2,LOCAL_RESOURCE,18,MOVE_S,-0.7214575640125737,1
4,14,1,RAND,13,JUNK-I7,-1.294106875820185,0
4,15,1,RAND,14,ACTION_Y,0.04870754112369152,1
4,16,3,SELF_ENERGY,6,ADD,1.1809442426831873,1
4,17,11,JUNK-I5,16,REPRODUCE,0.42689291055024875,0
4,18,13,JUNK-I7,18,MOVE_S,-3.8752403332621235,0
4,19,12,JUNK-I6,7,MUL,-3.380230109561449,0
4,20,5,JUNK-S5,11,JUNK-I5,3.9005096591082493,0
4,21,12,JUNK-I6,19,MOVE_E,-1.4065370647297586,0
4,22,12,JUNK-I6,21,JUNK-A7,-1.3761406292916654,0
4,23,10,THRESH,15,HARVEST,-3.729361857966857,1
4,24,9,DELAY,19,MOVE_E,-0.5714285714285714,1
4,25,2,LOCAL_RESOURCE,14,ACTION_Y,0.07470931119724113,1
4,26,3,SELF_ENERGY,15,HARVEST,-3.230933561204871,1
4,27,4,JUNK-S4,17,MOVE_N,-0.10815759758293406,0
4,28,4,JUNK-S4,12,JUNK-I6,1.4089785454878383,0
4,29,3,SELF_ENERGY,18,MOVE_S,-0.5246742149113437,1
4,30,4,JUNK-S4,21,JUNK-A7,-3.5683462019714955,0
4,31,7,MUL,21,JUNK-A7,2.2898648030030215,0
5,0,5,JUNK-S5,11,JUNK-I5,-0.8663594470046083,0
5,1,8,CLAMP,18,MOVE_S,-3.0269478438673056,1
5,2,10,THRESH,8,CLAMP,3.052339243751335,1
5,3,2,LOCAL_RESOURCE,17,MOVE_N,3.968138676107059,1
5,4,8,CLAMP,19,MOVE_E,2.922086245307779,1
5,5,0,CONST,12,JUNK-I6,3.6060670796838283,0
5,6,11,JUNK-I5,20,MOVE_W,-0.9249549851985229,0
5,7,7,MUL,7,MUL,-2.6028626361888487,1
5,8,6,ADD,6,ADD,3.666737876522111,1
5,9,1,RAND,20,MOVE_W,2.7908566545609914,1
5,10,11,JUNK-I5,14,ACTION_Y,-2.664387951292459,0
5,11,1,RAND,9,DELAY,-3.262794885097812,1
5,12,7,MUL,19,MOVE_E,-3.4312570574053165,1
5,13,5,JUNK-S5,7,MUL,3.5988647114474928,0
5,14,6,ADD,6,ADD,1.5397198400830103,1
5,15,0,CONST,18,MOVE_S,-2.8228400524918364,1
5,16,6,ADD,6,ADD,1.7162388988921782,1
5,17,11,JUNK-I5,19,MOVE_E,1.4394970549638355,0
5,18,8,CLAMP,18,MOVE_S,2.172917874691,1
5,19,7,MUL,13,JUNK-I7,0.9571825312051759,0
5,20,5,JUNK-S5,14,ACTION_Y,-3.8439893795587023,0
5,21,4,JUNK-S4,11,JUNK-I5,-2.380687887203589,0
5,22,0,CONST,18,MOVE_S,2.607257301553392,1
5,23,13,JUNK-I7,16,REPRODUCE,-1.0721762749107333,0
5,24,3,SELF_ENERGY,10,THRESH,-1.6913357951597643,1
5,25,11,JUNK-I5,19,MOVE_E,0.89089632862331,0
5,26,5,JUNK-S5,15,HARVEST,1.012237922299875,0
5,27,5,JUNK-S5,13,JUNK-I7,3.15439313943907,0
5,28,7,MUL,16,REPRODUCE,2.47529526657918,1
5,29,12,JUNK-I6,6,ADD,-3.2229987487411114,0
5,30,3,SELF_ENERGY,16,REPRODUCE,1.3946958830530718,1
5,31,11,JUNK-I5,12,JUNK-I6,0.04638813440351573,0
6,0,13,JUNK-I7,21,JUNK-A7,2.7668080690939054,0
6,1,8,CLAMP,8,CLAMP,-3.9410382396923733,1
6,2,4,JUNK-S4,16,REPRODUCE,1.0687582018494217,0
6,3,1,RAND,13,JUNK-I7,-2.237617114780114,0
6,4,4,JUNK-S4,8,CLAMP,0.34607989745780815,0
6,5,0,CONST,20,MOVE_W,-0.19006927701651052,1
6,6,2,LOCAL_RESOURCE,7,MUL,-2.7680288094729453,1
6,7,2,LOCAL_RESOURCE,14,ACTION_Y,-2.5995666371654407,1
6,8,10,THRESH,7,MUL,-0.9096957304605243,1
6,9,6,ADD,6,ADD,2.1231116672261727,1
6,10,7,MUL,12,JUNK-I6,-3.3295693838312936,0
6,11,0,CONST,10,THRESH,-2.5060579241309853,1
6,12,0,CONST,17,MOVE_N,-1.6294442579424422,1
6,13,10,THRESH,9,DELAY,-3.0710165715506457,1
6,14,0,CONST,19,MOVE_E,-2.5741752372814113,1
6,15,8,CLAMP,21,JUNK-A7,2.228949858088931,0
6,16,7,MUL,16,REPRODUCE,2.3317361980040894,1
6,17,2,LOCAL_RESOURCE,14,ACTION_Y,-3.161473433637501,1
6,18,1,RAND,16,REPRODUCE,-1.487716299935911,1
6,19,3,SELF_ENERGY,15,HARVEST,0.48072756126590777,1
6,20,0,CONST,16,REPRODUCE,-3.8848841822565388,1
6,21,3,SELF_ENERGY,20,MOVE_W,0.09790337839899899,1
6,22,5,JUNK-S5,21,JUNK-A7,0.4525284585100864,0
6,23,4,JUNK-S4,8,CLAMP,2.521561326944792,0
6,24,10,THRESH,11,JUNK-I5,1.3967711416974395,0
6,25,11,JUNK-I5,18,MOVE_S,1.2775048066652426,0
6,26,2,LOCAL_RESOURCE,18,MOVE_S,-1.4641560106204412,1
6,27,6,ADD,18,MOVE_S,-3.218848231452376,1
6,28,10,THRESH,11,JUNK-I5,-0.7312234870448927,0
6,29,3,SELF_ENERGY,19,MOVE_E,2.2088076418347726,1
6,30,11,JUNK-I5,8,CLAMP,0.9884334849085971,0
6,31,5,JUNK-S5,14,ACTION_Y,-3.9952391125217446,0
7,0,7,MUL,11,JUNK-I5,-2.71919919431135,0
7,1,5,JUNK-S5,21,JUNK-A7,-2.3761711478011414,0
7,2,7,MUL,6,ADD,-3.262062440870388,1
7,3,12,JUNK-I6,20,MOVE_W,1.4888149662770471,0
7,4,3,SELF_ENERGY,7,MUL,2.7768181402020327,1
7,5,7,MUL,11,JUNK-I5,2.3949705496383555,0
7,6,0,CONST,13,JUNK-I7,0.1881160924100467,0
7,7,4,JUNK-S4,19,MOVE_E,-2.159978026673177,0
7,8,0,CONST,18,MOVE_S,-3.0790734580523087,1
7,9,13,JUNK-I7,18,MOVE_S,0.6854457228308969,0
7,10,13,JUNK-I7,17,MOVE_N,-1.0478835413678396,0
7,11,2,LOCAL_RESOURCE,19,MOVE_E,3.0943327127903073,1
7,12,9,DELAY,17,MOVE_N,-0.9448530533768731,1
7,13,13,JUNK-I7,18,MOVE_S,-3.999633777886288,0
7,14,12,JUNK-I6,13,JUNK-I7,-2.598467970824305,0
7,15,2,LOCAL_RESOURCE,14,ACTION_Y,-2.023987548448134,1
7,16,4,JUNK-S4,21,JUNK-A7,2.7211523789178136,0
7,17,5,JUNK-S5,12,JUNK-I6,-0.04431287575914793,0
7,18,12,JUNK-I6,13,JUNK-I7,-0.09912411877803888,0
7,19,1,RAND,18,MOVE_S,3.9385967589342936,1
7,20,9,DELAY,16,REPRODUCE,0.17200231940672017,1
7,21,1,RAND,6,ADD,1.0836512344737084,1
7,22,1,RAND,15,HARVEST,0.30274361400189215,1
7,23,3,SELF_ENERGY,20,MOVE_W,-0.6827600939970092,1
7,24,4,JUNK-S4,12,JUNK-I6,-1.509689626758629,0
7,25,4,JUNK-S4,7,MUL,1.8828699606311228,0
7,26,3,SELF_ENERGY,10,THRESH,2.055482650227363,1
7,27,5,JUNK-S5,11,JUNK-I5,2.153874324777978,0
7,28,4,JUNK-S4,16,REPRODUCE,-1.914120914334544,0
7,29,0,CONST,12,JUNK-I6,-1.260780663472396,0
7,30,9,DELAY,20,MOVE_W,2.852259895626698,1
7,31,8,CLAMP,14,ACTION_Y,-0.34327219458601643,1
8,0,7,MUL,14,ACTION_Y,-3.774651326029237,1
8,1,4,JUNK-S4,17,MOVE_N,-1.6047853022858363,0
8,2,5,JUNK-S5,6,ADD,-1.3744315927610096,0
8,3,4,JUNK-S4,20,MOVE_W,-0.08838160344248787,0
8,4,12,JUNK-I6,14,ACTION_Y,3.5477156895657216,0
8,5,5,JUNK-S5,10,THRESH,-3.19541001617481,0
8,6,11,JUNK-I5,12,JUNK-I6,1.054963835566271,0
8,7,12,JUNK-I6,19,MOVE_E,-3.998535111545152,0
8,8,10,THRESH,19,MOVE_E,0.6388134403515733,1
8,9,3,SELF_ENERGY,8,CLAMP,-2.80428479873043,1
8,10,13,JUNK-I7,8,CLAMP,-1.836481826227607,0
8,11,13,JUNK-I7,13,JUNK-I7,1.0082094790490432,0
8,12,9,DELAY,10,THRESH,0.08496353038117618,1
8,13,3,SELF_ENERGY,11,JUNK-I5,1.9741813409833064,0
8,14,5,JUNK-S5,14,ACTION_Y,1.519455549790948,0
8,15,5,JUNK-S5,8,CLAMP,1.8921475875118259,0
8,16,2,LOCAL_RESOURCE,16,REPRODUCE,3.372173223059786,1
8,17,6,ADD,20,MOVE_W,1.9837031159398175,1
8,18,13,JUNK-I7,11,JUNK-I5,3.1139866328928494,0
8,19,1,RAND,21,JUNK-A7,3.814569536423841,0
8,20,1,RAND,14,ACTION_Y,1.1113620410779137,1
8,21,2,LOCAL_RESOURCE,16,REPRODUCE,1.7252723776970733,1
8,22,12,JUNK-I6,18,MOVE_S,0.08874782555619984,0
8,23,6,ADD,10,THRESH,1.1119724112674336,1
8,24,2,LOCAL_RESOURCE,13,JUNK-I7,-0.4442274239326151,0
8,25,12,JUNK-I6,10,THRESH,-1.2787255470442824,0
8,26,1,RAND,15,HARVEST,2.911343729972228,1
8,27,3,SELF_ENERGY,9,DELAY,3.0295113986632893,1
8,28,5,JUNK-S5,12,JUNK-I6,1.2795800653096103,0
8,29,1,RAND,8,CLAMP,1.7650685140537736,1
8,30,1,RAND,21,JUNK-A7,2.377636036255989,0
8,31,1,RAND,19,MOVE_E,-0.6963103122043519,1
9,0,5,JUNK-S5,12,JUNK-I6,0.7032685323648793,0
9,1,10,THRESH,9,DELAY,3.3871883297219765,1
9,2,1,RAND,19,MOVE_E,-1.1393169957579272,1
9,3,5,JUNK-S5,19,MOVE_E,0.6218451490829188,0
9,4,12,JUNK-I6,10,THRESH,-1.2351451155125583,0
9,5,3,SELF_ENERGY,17,MOVE_N,-1.7637256996368298,1
9,6,8,CLAMP,18,MOVE_S,-1.7096469008453627,1
9,7,11,JUNK-I5,18,MOVE_S,3.5927610095522935,0
9,8,9,DELAY,6,ADD,1.9608752708517716,1
9,9,13,JUNK-I7,6,ADD,2.98117007965331,0
9,10,2,LOCAL_RESOURCE,18,MOVE_S,-1.032135990478225,1
9,11,1,RAND,18,MOVE_S,-2.9064607684560686,1
9,12,0,CONST,21,JUNK-A7,3.577501754814295,0
9,13,1,RAND,11,JUNK-I5,-3.902829065828425,0
9,14,5,JUNK-S5,14,ACTION_Y,-2.0272835474715416,0
9,15,6,ADD,6,ADD,-1.9721060823389385,1
9,16,12,JUNK-I6,16,REPRODUCE,2.5786919766838587,0
9,17,13,JUNK-I7,16,REPRODUCE,-0.21985534226508377,0
9,18,2,LOCAL_RESOURCE,19,MOVE_E,2.522049623096408,1
9,19,12,JUNK-I6,15,HARVEST,-0.41444135868404186,0
9,20,13,JUNK-I7,20,MOVE_W,-2.7021088290047914,0
9,21,2,LOCAL_RESOURCE,11,JUNK-I5,0.20020142216254158,0
9,22,1,RAND,8,CLAMP,3.378276924954985,1
9,23,4,JUNK-S4,21,JUNK-A7,-0.3869747001556444,0
9,24,9,DELAY,18,MOVE_S,3.5139011810663168,1
9,25,7,MUL,15,HARVEST,1.9403668324839014,1
9,26,0,CONST,18,MOVE_S,1.5356913968321788,1
9,27,5,JUNK-S5,12,JUNK-I6,1.97735526596881,0
9,28,4,JUNK-S4,15,HARVEST,0.4594866786706137,0
9,29,13,JUNK-I7,16,REPRODUCE,-3.0042420728171635,0
9,30,8,CLAMP,18,MOVE_S,1.402386547441023,1
9,31,3,SELF_ENERGY,18,MOVE_S,0.5982848597674489,1
10,0,6,ADD,13,JUNK-I7,3.546006653035066,0
10,1,2,LOCAL_RESOURCE,21,JUNK-A7,1.717093417157506,0
10,2,12,JUNK-I6,13,JUNK-I7,0.09070101016266366,0
10,3,10,THRESH,10,THRESH,-2.910122989593188,1
10,4,0,CONST,21,JUNK-A7,-1.260780663472396,0
10,5,2,LOCAL_RESOURCE,18,MOVE_S,-1.1053804132206182,1
10,6,8,CLAMP,6,ADD,2.3607898190252388,1
10,7,5,JUNK-S5,12,JUNK-I6,-1.3075350199896236,0
10,8,10,THRESH,12,JUNK-I6,-3.6230353709524827,0
10,9,3,SELF_ENERGY,21,JUNK-A7,3.1264381847590563,0
10,10,5,JUNK-S5,13,JUNK-I7,-2.0352183599353006,0
10,11,5,JUNK-S5,11,JUNK-I5,1.4263130588702049,0
10,12,1,RAND,9,DELAY,-3.628284554582354,1
10,13,3,SELF_ENERGY,12,JUNK-I6,1.1337015900143437,0
10,14,12,JUNK-I6,19,MOVE_E,-1.2473525193029573,0
10,15,8,CLAMP,9,DELAY,2.7437360759300518,1
10,16,12,JUNK-I6,9,DELAY,-2.6757408368175297,0
10,17,7,MUL,11,JUNK-I5,-0.6142765587328715,0
10,18,10,THRESH,7,MUL,3.165501876888333,1
10,19,10,THRESH,13,JUNK-I7,-2.5279091769157995,0
10,20,1,RAND,16,REPRODUCE,3.4214911343729972,1
10,21,2,LOCAL_RESOURCE,19,MOVE_E,-3.847529526657918,1
10,22,0,CONST,11,JUNK-I5,0.13098544267097995,0
10,23,7,MUL,17,MOVE_N,-1.1643421735282449,1
10,24,13,JUNK-I7,13,JUNK-I7,0.5537278359324931,0
10,25,8,CLAMP,10,THRESH,-1.2230597857600636,1
10,26,12,JUNK-I6,14,ACTION_Y,2.3097628711813716,0
10,27,13,JUNK-I7,19,MOVE_E,-3.833735160374767,0
10,28,12,JUNK-I6,21,JUNK-A7,-3.3619190038758506,0
10,29,2,LOCAL_RESOURCE,14,ACTION_Y,-2.544022949919126,1
10,30,13,JUNK-I7,13,JUNK-I7,0.1532029175695059,0
10,31,1,RAND,6,ADD,2.597735526596881,1
11,0,10,THRESH,15,HARVEST,-0.17578661458174383,1
11,1,12,JUNK-I6,9,DELAY,-0.7210913418988617,0
11,2,13,JUNK-I7,13,JUNK-I7,3.664784691915647,0
11,3,0,CONST,13,JUNK-I7,-3.704824976348155,0
11,4,1,RAND,8,CLAMP,0.21558275093844417,1
11,5,12,JUNK-I6,7,MUL,0.9587694936979277,0
11,6,13,JUNK-I7,14,ACTION_Y,-2.878627887813959,0
11,7,13,JUNK-I7,13,JUNK-I7,2.0263069551683097,0
11,8,4,JUNK-S4,10,THRESH,1.6908474990081483,0
11,9,13,JUNK-I7,16,REPRODUCE,-3.6562395092623676,0
11,10,11,JUNK-I5,19,MOVE_E,-0.30384228034302807,0
11,11,3,SELF_ENERGY,18,MOVE_S,-2.7127292703024386,1
11,12,4,JUNK-S4,20,MOVE_W,0.7573473311563463,0
11,13,6,ADD,19,MOVE_E,2.301950132755516,1
11,14,3,SELF_ENERGY,18,MOVE_S,2.980071413312174,1
11,15,5,JUNK-S5,18,MOVE_S,3.9915768913846246,0
11,16,4,JUNK-S4,19,MOVE_E,3.5267189550462357,0
11,17,7,MUL,12,JUNK-I6,-3.4172185430463577,0
11,18,6,ADD,18,MOVE_S,-3.513290810876797,1
11,19,3,SELF_ENERGY,13,JUNK-I7,2.7348246711630604,0
11,20,11,JUNK-I5,16,REPRODUCE,3.8438673055207984,0
11,21,2,LOCAL_RESOURCE,11,JUNK-I5,2.801477095858638,0
11,22,9,DELAY,21,JUNK-A7,-0.4873195593127232,0
11,23,3,SELF_ENERGY,10,THRESH,3.684926908169805,1
11,24,4,JUNK-S4,7,MUL,-0.7311014130069887,0
11,25,13,JUNK-I7,17,MOVE_N,-1.7417523728141118,0
11,26,10,THRESH,13,JUNK-I7,-2.1830500198370313,0
11,27,7,MUL,19,MOVE_E,3.651356547746208,1
11,28,0,CONST,21,JUNK-A7,-1.8297677541428876,0
11,29,3,SELF_ENERGY,19,MOVE_E,-2.7465437788018434,1
11,30,5,JUNK-S5,10,THRESH,0.21033356730857264,0
11,31,10,THRESH,8,CLAMP,0.5157628101443525,1
12,0,3,SELF_ENERGY,11,JUNK-I5,-2.128727072969756,0
12,1,1,RAND,11,JUNK-I5,0.6754356517227699,0
12,2,10,THRESH,15,HARVEST,3.1803949095126196,1
12,3,1,RAND,7,MUL,3.6805322428052616,1
12,4,4,JUNK-S4,18,MOVE_S,-3.641712698751793,0
12,5,5,JUNK-S5,16,REPRODUCE,-1.0935392315439314,0
12,6,0,CONST,18,MOVE_S,2.5144810327463607,1
12,7,3,SELF_ENERGY,10,THRESH,1.119907223731193,1
12,8,2,LOCAL_RESOURCE,12,JUNK-I6,-2.075746940519425,0
12,9,4,JUNK-S4,20,MOVE_W,-3.8516800439466534,0
12,10,8,CLAMP,6,ADD,-2.0088503677480394,1
12,11,3,SELF_ENERGY,21,JUNK-A7,-0.038087099826044496,0
12,12,1,RAND,11,JUNK-I5,-3.2276375621814632,0
12,13,2,LOCAL_RESOURCE,13,JUNK-I7,-1.4048280281991028,0
12,14,5,JUNK-S5,10,THRESH,-2.2440870387890257,0
12,15,8,CLAMP,14,ACTION_Y,-0.42762535477767266,1
12,16,0,CONST,9,DELAY,2.2919400616473893,1
12,17,5,JUNK-S5,9,DELAY,1.1374858851893674,0
12,18,9,DELAY,9,DELAY,1.086703085421308,1
12,19,9,DELAY,15,HARVEST,1.3651539658803065,1
12,20,6,ADD,12,JUNK-I6,2.648396252327036,0
12,21,0,CONST,16,REPRODUCE,-1.2364879299295022,1
12,22,10,THRESH,7,MUL,-3.140354625080111,1
12,23,5,JUNK-S5,13,JUNK-I7,-1.6014893032624287,0
12,24,13,JUNK-I7,9,DELAY,3.2869655446028014,0
12,25,11,JUNK-I5,19,MOVE_E,-3.1575670644245735,0
12,26,9,DELAY,19,MOVE_E,1.4617145298623615,1
12,27,1,RAND,10,THRESH,-3.423810541093173,1
12,28,5,JUNK-S5,9,DELAY,-3.7658619953001495,0
12,29,5,JUNK-S5,18,MOVE_S,1.618335520493179,0
12,30,4,JUNK-S4,8,CLAMP,-3.6037476729636526,0
12,31,9,DELAY,8,CLAMP,-0.9074983977782525,1
13,0,13,JUNK-I7,14,ACTION_Y,1.5393536179692984,0
13,1,2,LOCAL_RESOURCE,20,MOVE_W,-0.4504531998657186,1
13,2,5,JUNK-S5,6,ADD,-0.9474166081728569,0
13,3,5,JUNK-S5,20,MOVE_W,-2.608844264046144,0
13,4,12,JUNK-I6,17,MOVE_N,3.934080019531846,0
